seqnames	start	end	strand	gene	ENTREZID	product	gbkey
3	116253114	116253498	-	Gpr88	64378	G-protein coupled receptor 88, transcript variant X1	mRNA
3	116423437	116424032	-	Cdc14a	229776	CDC14 cell division cycle 14A, transcript variant 2	mRNA
3	116424167	116424683	+	LOC105244532	105244532	uncharacterized LOC105244532	ncRNA
3	116507945	116508175	-	Rtca	66368	RNA 3'-terminal phosphate cyclase	mRNA
3	116513079	116513191	+	Dbt	13171	dihydrolipoamide branched chain transacylase E2	mRNA
3	116562953	116563123	+	Lrrc39	109245	leucine rich repeat containing 39, transcript variant X4	mRNA
3	116578530	116578705	-	Gm31797	102634141	predicted gene, 31797	ncRNA
3	116594639	116594887	-	Trmt13	229780	tRNA methyltransferase 13, transcript variant X5	misc_RNA
3	116594958	116595178	+	Sass6	72776	spindle assembly 6 homolog (C. elegans), transcript variant 3	mRNA
3	116662395	116662692	-	Hiat1	15247	hippocampus abundant gene transcript 1, transcript variant X3	mRNA
3	116712617	116713960	-	Slc35a3	229782	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3, transcript variant X2	mRNA
3	116692643	116692703	-	LOC105244533	105244533	uncharacterized LOC105244533	ncRNA
3	116808028	116808166	-	Agl	77559	amylo-1,6-glucosidase, 4-alpha-glucanotransferase	mRNA
3	116823005	116823040	+	LOC105244534	105244534	uncharacterized LOC105244534	ncRNA
3	116841431	116841513	-	LOC105244535	105244535	uncharacterized LOC105244535	ncRNA
3	116844548	116844994	+	Gm29736	101055867	NA	exon
3	116859567	116859634	+	Frrs1	20321	ferric-chelate reductase 1, transcript variant 1	mRNA
3	116968498	116968952	-	Palmd	114301	palmdelphin	mRNA
3	116953110	116953187	+	Gm32148	102634607	predicted gene, 32148	ncRNA
3	116963840	116967272	+	LOC105244536	105244536	uncharacterized LOC105244536	ncRNA
3	116968267	116968599	+	4930455H04Rik	74654	RIKEN cDNA 4930455H04 gene	ncRNA
3	116998815	116999588	-	Gm9332	668749	NA	exon
3	117077393	117077765	-	1700061I17Rik	433646	RIKEN cDNA 1700061I17 gene	ncRNA
3	117234595	117234670	+	Gm32216	102634688	predicted gene, 32216, transcript variant X1	ncRNA
3	117263036	117263149	-	LOC105244537	105244537	uncharacterized LOC105244537, transcript variant X2	ncRNA
3	117360024	117360876	-	Lppr4	229791	lipid phosphate phosphatase-related protein type 4	mRNA
3	117573063	117575932	+	Lppr5	75769	lipid phosphate phosphatase-related protein type 5, transcript variant X2	mRNA
3	117868744	117868936	-	Snx7	76561	sorting nexin 7, transcript variant 2	mRNA
3	117888568	117889015	-	Gm4321	100043260	NA	exon
3	117965057	117965116	+	Gm32344	102634860	predicted gene, 32344	ncRNA
3	118433857	118433929	+	Mir137	387155	microRNA 137	precursor_RNA
3	118504349	118513985	+	Gm26871	102634933	predicted gene, 26871	ncRNA
3	118529482	118537035	+	Gm32444	102634995	predicted gene, 32444	ncRNA
3	118562109	118562314	+	Dpyd	99586	dihydropyrimidine dehydrogenase, transcript variant X1	mRNA
3	119440202	119440430	-	Gm32577	102635174	predicted gene, 32577, transcript variant X3	ncRNA
3	119474970	119475096	-	Gm32632	102635242	predicted gene, 32632, transcript variant X2	ncRNA
3	119489203	119490036	-	LOC105244538	105244538	uncharacterized LOC105244538	ncRNA
3	119709507	119709892	+	Gm4332	100043278	NA	exon
3	119783202	119783799	-	Ptbp2	56195	polypyrimidine tract binding protein 2, transcript variant X5	misc_RNA
3	119779918	119779975	+	LOC105244539	105244539	uncharacterized LOC105244539	ncRNA
3	119783820	119783902	+	LOC102641335	102641335	uncharacterized LOC102641335, transcript variant X2	ncRNA
3	120886513	120886732	-	6530403H02Rik	320739	RIKEN cDNA 6530403H02 gene	ncRNA
3	120934393	120934711	-	LOC105244540	105244540	uncharacterized LOC105244540	ncRNA
3	121171592	121171780	-	Rwdd3	66568	RWD domain containing 3, transcript variant X1	mRNA
3	121179908	121181112	-	Gm5710	435752	NA	exon
3	121282900	121283108	-	Tmem56	99887	transmembrane protein 56, transcript variant X2	mRNA
3	121263463	121263527	+	Gm30517	102632446	NA	exon
3	121291716	121291983	+	Alg14	66789	asparagine-linked glycosylation 14, transcript variant X1	mRNA
3	121353585	121357336	+	Gm33310	102636167	predicted gene, 33310	ncRNA
3	121369047	121369688	+	Gm33363	102636241	predicted gene, 33363, transcript variant X7	ncRNA
3	121380061	121380781	-	Gm5711	435753	NA	exon
3	121389264	121389747	+	LOC105244541	105244541	uncharacterized LOC105244541, transcript variant X3	ncRNA
3	121426541	121426828	+	Cnn3	71994	calponin 3, acidic	mRNA
3	121532161	121532344	-	Slc44a3	213603	solute carrier family 44, member 3	mRNA
3	121531667	121531940	+	LOC105242407	105242407	uncharacterized LOC105242407	ncRNA
3	121532944	121533138	+	A530020G20Rik	319839	RIKEN cDNA A530020G20 gene	misc_RNA
3	121545224	121545558	+	LOC105244542	105244542	uncharacterized LOC105244542, transcript variant X2	ncRNA
3	121576067	121576164	-	Gm33547	102636496	predicted gene, 33547, transcript variant X2	ncRNA
3	121615988	121616108	-	Gm33485	102636411	predicted gene, 33485, transcript variant X3	ncRNA
3	121592922	121592961	+	Gm33708	102636712	predicted gene, 33708, transcript variant X2	ncRNA
3	121643206	121643485	-	A730020M07Rik	100503044	RIKEN cDNA A730020M07 gene, transcript variant 1	ncRNA
3	121670763	121671215	+	4930432M17Rik	619318	RIKEN cDNA 4930432M17 gene	mRNA
3	121718240	121718920	-	LOC105244543	105244543	uncharacterized LOC105244543, transcript variant X4	ncRNA
3	121723537	121723802	+	F3	14066	coagulation factor III	mRNA
3	121814720	121815002	-	Abcd3	19299	ATP-binding cassette, sub-family D (ALD), member 3, transcript variant X1	mRNA
3	121847005	121847153	-	Gm33924	102637009	predicted gene, 33924	ncRNA
3	121851133	121851345	+	Gm33987	102637085	predicted gene, 33987, transcript variant X2	ncRNA
3	121903271	121903376	-	Gm34050	102637167	predicted gene, 34050, transcript variant X3	ncRNA
3	121903583	121903624	+	Gm34119	102637254	predicted gene, 34119, transcript variant X3	ncRNA
3	121953072	121953404	+	Arhgap29	214137	Rho GTPase activating protein 29, transcript variant X3	mRNA
3	122043893	122044156	+	Abca4	11304	ATP-binding cassette, sub-family A (ABC1), member 4, transcript variant X1	mRNA
3	122126579	122126780	-	LOC105244545	105244545	uncharacterized LOC105244545, transcript variant X2	ncRNA
3	122131785	122132048	-	Gm34241	102637431	predicted gene, 34241	ncRNA
3	122211428	122211674	+	LOC105244544	105244544	uncharacterized LOC105244544	ncRNA
3	122229992	122231214	-	Gm4609	100043724	NA	exon
3	122245557	122246111	+	Gclm	14630	glutamate-cysteine ligase, modifier subunit	mRNA
3	122256690	122257422	+	Gm6061	606529	NA	exon
3	122274414	122274478	+	Dnttip2	99480	deoxynucleotidyltransferase, terminal, interacting protein 2	mRNA
3	122289456	122292818	+	LOC105244546	105244546	uncharacterized LOC105244546, transcript variant X2	mRNA
3	122292996	122293032	-	n-Tr22	102467253	tRNA-Arg	tRNA
3	122293006	122293059	+	LOC105244600	105244600	transcription initiation factor TFIID subunit 4-like, transcript variant X2	mRNA
3	122293585	122293703	-	Mir760	791077	microRNA 760	precursor_RNA
3	122391675	122392275	-	Gm4610	100043726	predicted gene 4610	ncRNA
3	122419780	122420183	+	Bcar3	29815	breast cancer anti-estrogen resistance 3	mRNA
3	122480132	122483351	-	Gm34349	102637574	predicted gene, 34349	ncRNA
3	122534382	122537257	+	Gm34463	102637725	predicted gene, 34463	ncRNA
3	122619530	122619714	-	Fnbp1l	214459	formin binding protein 1-like, transcript variant 2	mRNA
3	122541625	122541681	-	Mir7657	102465764	microRNA 7657	precursor_RNA
3	122632586	122633297	-	Gm5981	546810	NA	exon
3	122683997	122684080	-	LOC105244547	105244547	uncharacterized LOC105244547	ncRNA
3	122729158	122729367	+	Pde5a	242202	phosphodiesterase 5A, cGMP-specific	mRNA
3	122788002	122788586	-	Gm34139	102637287	NA	exon
3	122801837	122801980	-	4930447N08Rik	71647	RIKEN cDNA 4930447N08 gene	ncRNA
3	122849940	122850453	-	Gm34577	102637877	predicted gene, 34577, transcript variant X2	ncRNA
3	122861843	122862681	+	LOC102637985	102637985	NA	exon
3	122924063	122924116	-	4933405D12Rik	74057	RIKEN cDNA 4933405D12 gene	ncRNA
3	122895072	122895479	+	Fabp2	14079	fatty acid binding protein 2, intestinal	mRNA
3	122924397	122924656	+	1810037I17Rik	67704	RIKEN cDNA 1810037I17 gene	mRNA
3	122983706	122984509	-	Usp53	99526	ubiquitin specific peptidase 53, transcript variant X2	mRNA
3	123034820	123035001	-	Myoz2	59006	myozenin 2, transcript variant X3	mRNA
3	123235903	123236149	-	Synpo2	118449	synaptopodin 2	mRNA
3	123202262	123205006	+	LOC105244548	105244548	uncharacterized LOC105244548	ncRNA
3	123267496	123267536	+	Sec24d	69608	Sec24 related gene family, member D (S. cerevisiae)	mRNA
3	123322638	123326166	-	LOC105244549	105244549	uncharacterized LOC105244549, transcript variant X2	ncRNA
3	123385762	123385990	-	Mettl14	210529	methyltransferase like 14	mRNA
3	123373416	123373962	-	LOC102638295	102638295	uncharacterized LOC102638295	ncRNA
3	123434215	123434275	+	LOC105244550	105244550	uncharacterized LOC105244550, transcript variant X2	ncRNA
3	123448150	123448890	-	Gm35065	102638522	predicted gene, 35065, transcript variant X3	ncRNA
3	123446913	123447636	+	Prss12	19142	protease, serine 12 neurotrypsin (motopsin)	mRNA
3	123507552	123508336	-	Snhg8	69895	small nucleolar RNA host gene 8	ncRNA
3	123507937	123508066	-	Snora24	100306957	small nucleolar RNA, H/ACA box 24	ncRNA
3	123690705	123690852	-	Ndst3	83398	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3, transcript variant 3	misc_RNA
3	124007517	124007527	+	LOC105244551	105244551	uncharacterized LOC105244551	ncRNA
3	124292038	124292505	+	Gm9372	668809	NA	exon
3	124321037	124323260	+	Tram1l1	229801	translocation associated membrane protein 1-like 1	mRNA
3	124385520	124386674	+	Gm4617	100043740	NA	exon
3	124425936	124426024	-	1700006A11Rik	71824	RIKEN cDNA 1700006A11 gene, transcript variant X2	mRNA
3	124580978	124581091	-	1700003H04Rik	384775	RIKEN cDNA 1700003H04 gene	ncRNA
3	125042059	125043293	-	Gm9381	668820	NA	exon
3	125404076	125404507	+	Ndst4	64580	N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4, transcript variant X3	mRNA
3	125534543	125535080	-	Gm35237	102638747	predicted gene, 35237, transcript variant X2	ncRNA
3	125680840	125681323	-	Gm35186	102638681	predicted gene, 35186, transcript variant X3	ncRNA
3	125938372	125938395	-	Ugt8a	22239	UDP galactosyltransferase 8A, transcript variant X1	mRNA
3	125896546	125899304	+	LOC105244552	105244552	uncharacterized LOC105244552, transcript variant X2	ncRNA
3	126106710	126106760	+	LOC105244553	105244553	uncharacterized LOC105244553	ncRNA
3	126363250	126363266	+	Arsj	271970	arylsulfatase J, transcript variant X1	mRNA
3	126380178	126380842	-	Gm35408	102638976	predicted gene, 35408, transcript variant X1	ncRNA
3	126407129	126407200	-	Gm35351	102638900	predicted gene, 35351, transcript variant X2	ncRNA
3	126460071	126460232	-	Gm35300	102638826	predicted gene, 35300	ncRNA
3	126596358	126597504	+	Camk2d	108058	calcium/calmodulin-dependent protein kinase II, delta, transcript variant X16	mRNA
3	126668845	126669875	-	Gm15551	102639086	predicted gene 15551	ncRNA
3	127498668	127499870	-	Ank2	109676	ankyrin 2, brain, transcript variant X25	mRNA
3	127161305	127161415	+	LOC100862268	100862268	uncharacterized LOC100862268, transcript variant 1	ncRNA
3	127468525	127470787	-	Gm35535	102639156	predicted gene, 35535	ncRNA
3	127553183	127553349	-	Larp7	28036	La ribonucleoprotein domain family, member 7	mRNA
3	127545228	127545301	+	Mir302b	723948	microRNA 302b	precursor_RNA
3	127545363	127545430	+	Mir302c	723835	microRNA 302c	precursor_RNA
3	127545496	127545564	+	Mir302a	723920	microRNA 302a	precursor_RNA
3	127545624	127545689	+	Mir302d	723928	microRNA 302d	precursor_RNA
3	127545733	127545807	+	Mir367	723911	microRNA 367	precursor_RNA
3	127553436	127553655	+	Zgrf1	71643	zinc finger, GRF-type containing 1, transcript variant X1	mRNA
3	127627889	127628118	-	LOC105244554	105244554	uncharacterized LOC105244554	ncRNA
3	127633145	127633457	+	Neurog2	11924	neurogenin 2	mRNA
3	127780161	127780553	-	Alpk1	71481	alpha-kinase 1, transcript variant X2	mRNA
3	127691856	127692546	-	Gm16238	100191076	NA	exon
3	127788857	127789537	+	Tifa	211550	TRAF-interacting protein with forkhead-associated domain, transcript variant X1	mRNA
3	127837149	127837518	-	Ap1ar	211556	adaptor-related protein complex 1 associated regulatory protein, transcript variant X7	mRNA
3	127859279	127859627	+	Gm35585	102639226	predicted gene, 35585, transcript variant X6	ncRNA
3	127896034	127896323	-	5730508B09Rik	70617	RIKEN cDNA 5730508B09 gene	mRNA
3	127916171	127916286	+	9830132P13Rik	329753	RIKEN cDNA 9830132P13 gene	ncRNA
3	127970921	127971832	+	Gm35667	102639331	predicted gene, 35667, transcript variant X1	ncRNA
3	128231318	128231605	-	D030025E07Rik	402774	RIKEN cDNA D030025E07 gene	ncRNA
3	128761492	128761603	-	LOC105244555	105244555	uncharacterized LOC105244555	ncRNA
3	128953295	128955126	-	Gm9387	668831	NA	exon
3	129105428	129105544	-	Gm35726	102639400	predicted gene, 35726, transcript variant X1	ncRNA
3	129197776	129198939	-	LOC105244556	105244556	uncharacterized LOC105244556, transcript variant X3	ncRNA
3	129199878	129200162	+	Pitx2	18741	paired-like homeodomain transcription factor 2, transcript variant 2	mRNA
3	129331862	129332749	-	Enpep	13809	glutamyl aminopeptidase	mRNA
3	129423118	129423208	+	Gm35787	102639483	predicted gene, 35787, transcript variant X2	ncRNA
3	129433673	129434712	+	Gm5712	435755	predicted gene 5712	misc_RNA
3	129461951	129462789	+	Rpl7a-ps7	668840	NA	exon
3	129532257	129532388	-	Gm35986	102639747	predicted gene, 35986, transcript variant X5	ncRNA
3	129532386	129532495	+	Elovl6	170439	ELOVL family member 6, elongation of long chain fatty acids (yeast)	mRNA
3	129725054	129725110	-	Egf	13645	epidermal growth factor, transcript variant X4	mRNA
3	129753758	129753923	+	6330410L21Rik	319224	RIKEN cDNA 6330410L21 gene	ncRNA
3	129808808	129808884	-	Lrit3	242235	leucine-rich repeat, immunoglobulin-like and transmembrane domains 3, transcript variant X1	mRNA
3	129797582	129797898	+	Gm36130	102639932	predicted gene, 36130	ncRNA
3	129822377	129822505	-	Rrh	20132	retinal pigment epithelium derived rhodopsin homolog	mRNA
3	129831118	129831396	-	Gar1	68147	GAR1 ribonucleoprotein homolog (yeast)	mRNA
3	129835889	129836017	+	Cfi	12630	complement component factor i, transcript variant X1	mRNA
3	129846835	129847224	-	Gm36180	102639999	predicted gene, 36180, transcript variant X2	ncRNA
3	129878606	129878935	+	Pla2g12a	66350	phospholipase A2, group XIIA, transcript variant 4	misc_RNA
3	129901425	129901506	+	Casp6	12368	caspase 6	mRNA
3	129906485	129907126	+	LOC105244557	105244557	uncharacterized LOC105244557	ncRNA
3	129969950	129970214	-	Ccdc109b	66815	coiled-coil domain containing 109B, transcript variant X1	mRNA
3	129947063	129947189	-	LOC105244558	105244558	uncharacterized LOC105244558, transcript variant X2	ncRNA
3	130061440	130061573	-	Sec24b	99683	Sec24 related gene family, member B (S. cerevisiae), transcript variant X2	mRNA
3	130068393	130069021	+	Gm9396	668844	NA	exon
3	130131505	130132204	+	4930502M04Rik	74974	RIKEN cDNA 4930502M04 gene	misc_RNA
3	130180339	130181780	+	Col25a1	77018	collagen, type XXV, alpha 1, transcript variant X23	mRNA
3	130617448	130617474	+	Etnppl	71760	ethanolamine phosphate phospholyase, transcript variant 2	mRNA
3	130632439	130633087	-	Gm36322	102640195	predicted gene, 36322	ncRNA
3	130692768	130695261	-	Gm36373	102640261	predicted gene, 36373, transcript variant X3	ncRNA
3	130709237	130709444	-	Ostc	66357	oligosaccharyltransferase complex subunit	mRNA
3	130730318	130730398	-	Rpl34	68436	ribosomal protein L34, transcript variant 2	mRNA
3	130803817	130804021	-	Gm36443	102640363	predicted gene, 36443, transcript variant X2	ncRNA
3	130846426	130847006	-	Gm5982	546811	NA	exon
3	130851847	130851878	+	Gm36520	102640465	predicted gene, 36520, transcript variant X2	ncRNA
3	130929051	130930780	-	Gm5855	545568	NA	exon
3	131105958	131108002	-	Gm36603	102640569	predicted gene, 36603, transcript variant X2	ncRNA
3	131110263	131111678	+	Lef1	16842	lymphoid enhancer binding factor 1, transcript variant X2	mRNA
3	131271876	131272101	-	Hadh	15107	hydroxyacyl-Coenzyme A dehydrogenase	mRNA
3	131302680	131303227	-	Cyp2u1	71519	cytochrome P450, family 2, subfamily u, polypeptide 1	mRNA
3	131303208	131303294	+	LOC100503594	100503594	uncharacterized LOC100503594, transcript variant X2	misc_RNA
3	131491130	131491192	-	Sgms2	74442	sphingomyelin synthase 2, transcript variant X7	mRNA
3	131490585	131490675	+	Gm36753	102640761	predicted gene, 36753, transcript variant X1	ncRNA
3	131509296	131509407	+	Gm36863	102640912	predicted gene, 36863	ncRNA
3	131564768	131564983	+	Papss1	23971	3'-phosphoadenosine 5'-phosphosulfate synthase 1, transcript variant 4	mRNA
3	131587586	131587970	+	Gm36917	102640987	predicted gene, 36917	ncRNA
3	131893134	131893268	+	Gm29865	102631558	predicted gene, 29865, transcript variant X1	ncRNA
3	132007346	132007561	+	Gm29949	102631666	predicted gene, 29949, transcript variant X8	ncRNA
3	132085242	132086293	+	Dkk2	56811	dickkopf homolog 2 (Xenopus laevis), transcript variant X1	mRNA
3	132479597	132479694	+	Gm30147	102631945	predicted gene, 30147, transcript variant X1	ncRNA
3	132612595	132612668	-	LOC105244559	105244559	uncharacterized LOC105244559	ncRNA
3	132629807	132629908	+	Gm5549	433653	predicted gene 5549, transcript variant X1	mRNA
3	132655109	132656353	-	Gm9402	668857	NA	exon
3	132683793	132683879	-	Aimp1	13722	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	mRNA
3	132683994	132684394	+	Tbck	271981	TBC1 domain containing kinase, transcript variant X3	misc_RNA
3	132776272	132784090	-	Gm30294	102632141	predicted gene, 30294, transcript variant X2	ncRNA
3	132878010	132878596	-	Gm29811	101243624	predicted gene, 29811, transcript variant 2	ncRNA
3	132949973	132950291	-	Npnt	114249	nephronectin, transcript variant 2	mRNA
3	133091877	133091971	-	Gstcd	67553	glutathione S-transferase, C-terminal domain containing, transcript variant X1	mRNA
3	133091953	133091976	+	Ints12	71793	integrator complex subunit 12	mRNA
3	133234628	133234889	-	Arhgef38	77669	Rho guanine nucleotide exchange factor (GEF) 38	mRNA
3	133309159	133310281	+	Ppa2	74776	pyrophosphatase (inorganic) 2, transcript variant X1	mRNA
3	133545045	133545201	-	Tet2	214133	tet methylcytosine dioxygenase 2, transcript variant X3	mRNA
3	133578999	133579927	-	Gm23011	102632793	NA	exon
3	133663196	133663777	-	LOC105244560	105244560	uncharacterized LOC105244560	ncRNA
3	133791313	133791516	-	Gm6135	620205	prediticted gene 6135	ncRNA
3	133818387	133818562	-	Gm30484	102632401	predicted gene, 30484	ncRNA
3	134146954	134149286	-	Gm26691	102632484	predicted gene, 26691, transcript variant X1	ncRNA
3	134207906	134209294	+	Gm30648	102632621	predicted gene, 30648	ncRNA
3	134236415	134236686	+	Cxxc4	319478	CXXC finger 4, transcript variant X1	mRNA
3	134240505	134240583	-	Mir1895	100316832	microRNA 1895	precursor_RNA
3	134629902	134630765	-	Gm26820	102632824	predicted gene, 26820	ncRNA
3	134423544	134423635	-	4930539C22Rik	75208	RIKEN cDNA 4930539C22 gene	ncRNA
3	134829007	134829781	+	Tacr3	21338	tachykinin receptor 3	mRNA
3	134963019	134965123	+	Gm4860	229837	NA	exon
3	135212563	135212714	+	Cenpe	229841	centromere protein E	mRNA
3	135281221	135281368	+	Bdh2	69772	3-hydroxybutyrate dehydrogenase, type 2, transcript variant 1	mRNA
3	135307618	135307781	+	Slc9b2	97086	solute carrier family 9, subfamily B (NHA2, cation proton antiporter 2), member 2, transcript variant X4	mRNA
3	135347994	135348122	+	Slc9b1	74446	solute carrier family 9, subfamily B (NHA1, cation proton antiporter 1), member 1, transcript variant X6	mRNA
3	135423259	135423433	-	Cisd2	67006	CDGSH iron sulfur domain 2	mRNA
3	135438421	135438665	-	4930539J05Rik	319587	RIKEN cDNA 4930539J05 gene	ncRNA
3	135438244	135438352	+	Ube2d3	66105	ubiquitin-conjugating enzyme E2D 3, transcript variant X2	mRNA
3	135485376	135485512	-	Gm30992	102633078	predicted gene, 30992, transcript variant X2	ncRNA
3	135485575	135485857	+	Manba	110173	mannosidase, beta A, lysosomal, transcript variant X1	misc_RNA
3	135524971	135526835	-	LOC102633210	102633210	ornithine decarboxylase antizyme 2 pseudogene, transcript variant X2	misc_RNA
3	135691123	135691547	-	Nfkb1	18033	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	mRNA
3	135816883	135816904	+	Slc39a8	67547	solute carrier family 39 (metal ion transporter), member 8, transcript variant X1	mRNA
3	135840107	135840269	-	4933401H06Rik	71038	RIKEN cDNA 4933401H06 gene	ncRNA
3	135901810	135901893	+	Gm31243	102633410	predicted gene, 31243, transcript variant X2	ncRNA
3	135963212	135963828	-	Gm16500	100039350	NA	exon
3	136325870	136326141	-	Bank1	242248	B cell scaffold protein with ankyrin repeats 1, transcript variant X3	mRNA
3	136448959	136449349	-	1700030L20Rik	70055	RIKEN cDNA 1700030L20 gene	ncRNA
3	136670066	136670901	+	Ppp3ca	19055	protein phosphatase 3, catalytic subunit, alpha isoform, transcript variant 1	mRNA
3	136803296	136805354	-	LOC105244561	105244561	uncharacterized LOC105244561	ncRNA
3	136954736	136955087	-	1700006H20Rik	72241	RIKEN cDNA 1700006H20 gene, transcript variant X3	ncRNA
3	136948486	136949389	+	LOC102633493	102633493	NA	exon
3	137289623	137289766	+	Gm567	229861	predicted gene 567, transcript variant X1	mRNA
3	137341061	137341312	+	Emcn	59308	endomucin, transcript variant X1	mRNA
3	137369412	137369628	-	LOC102643016	102643016	uncharacterized LOC102643016, transcript variant X6	ncRNA
3	137552528	137552622	-	Gm4861	229862	predicted gene 4861	mRNA
3	137623672	137623883	+	Ddit4l	73284	DNA-damage-inducible transcript 4-like	mRNA
3	137644013	137644821	-	Gm30946	102633016	NA	exon
3	137783535	137783615	-	Mir6380	102466638	microRNA 6380	precursor_RNA
3	137802509	137802639	-	Gm31678	102633985	predicted gene, 31678	ncRNA
3	137864487	137864696	+	H2afz	51788	H2A histone family, member Z	mRNA
3	137867675	137868056	+	Dnajb14	70604	DnaJ (Hsp40) homolog, subfamily B, member 14	mRNA
3	137878039	137878146	-	LOC105244562	105244562	uncharacterized LOC105244562, transcript variant X3	ncRNA
3	137918555	137918663	+	Lamtor3	56692	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3	mRNA
3	137981319	137981576	-	Dapp1	26377	dual adaptor for phosphotyrosine and 3-phosphoinositides 1, transcript variant X1	mRNA
3	137945507	137947796	+	Gm31738	102634060	predicted gene, 31738, transcript variant X2	ncRNA
3	138066924	138067388	-	Gm5105	329763	predicted gene 5105	ncRNA
3	138062242	138062298	+	LOC102634333	102634333	uncharacterized LOC102634333, transcript variant X1	mRNA
3	138077928	138078006	-	Gm31857	102634220	predicted gene, 31857, transcript variant X3	ncRNA
3	138143172	138143260	-	Mttp	17777	microsomal triglyceride transfer protein, transcript variant X2	mRNA
3	138143517	138143707	+	Trmt10a	108943	tRNA methyltransferase 10A, transcript variant X3	mRNA
3	138193595	138194242	-	4930579F01Rik	67741	RIKEN cDNA 4930579F01 gene, transcript variant X1	mRNA
3	138198053	138198135	+	Adh7	11529	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide, transcript variant X1	mRNA
3	138239489	138239663	-	0610031O16Rik	68369	RIKEN cDNA 0610031O16 gene	ncRNA
3	138261047	138261198	+	LOC105244563	105244563	uncharacterized LOC105244563	ncRNA
3	138277645	138277736	+	Adh1	11522	alcohol dehydrogenase 1 (class I)	mRNA
3	138306931	138307031	-	Gm16559	102634608	predicted gene 16559	ncRNA
3	138313286	138313362	+	Adh6a	69117	alcohol dehydrogenase 6A (class V)	mRNA
3	138341185	138341999	+	Adh6b	100417514	alcohol dehydrogenase 6B (class V), transcript variant X1	mRNA
3	138374121	138374207	+	Adh6-ps1	639769	alcohol dehydrogenase 6 (class V), pseudogene 1	misc_RNA
3	138415497	138415549	+	Adh4	26876	alcohol dehydrogenase 4 (class II), pi polypeptide	mRNA
3	138437200	138437282	+	Adh5	11532	alcohol dehydrogenase 5 (class III), chi polypeptide, transcript variant 2	mRNA
3	138489258	138489382	-	Metap1	75624	methionyl aminopeptidase 1	mRNA
3	138488199	138489251	-	Gm32553	102635137	predicted gene, 32553, transcript variant X2	ncRNA
3	138526191	138526294	+	Eif4e	13684	eukaryotic translation initiation factor 4E	mRNA
3	138526421	138526485	+	Mir1956	100316706	microRNA 1956	precursor_RNA
3	138577299	138578190	-	Gm29762	101056009	NA	exon
3	138726862	138726984	-	4930425O10Rik	74635	RIKEN cDNA 4930425O10 gene	ncRNA
3	138742208	138742660	+	Tspan5	56224	tetraspanin 5, transcript variant 1	mRNA
3	139075036	139075201	-	Rap1gds1	229877	RAP1, GTP-GDP dissociation stimulator 1, transcript variant 2	mRNA
3	139128295	139128802	-	Gm4862	229879	NA	exon
3	139205194	139206007	+	Stpg2	381476	sperm tail PG rich repeat containing 2, transcript variant X1	misc_RNA
3	139649361	139650560	+	Gm2451	100039840	NA	exon
3	139780597	139780759	-	Gm32693	102635321	predicted gene, 32693	ncRNA
3	140028249	140028370	+	Mir7j	102465198	microRNA 7j	precursor_RNA
3	140627177	140627465	-	Gm31211	102633369	NA	exon
3	140917295	140917545	-	Gm32754	102635403	predicted gene, 32754	ncRNA
3	140964664	140964725	-	Gm32875	102635581	predicted gene, 32875, transcript variant X3	ncRNA
3	140951835	140951912	+	4930590L14Rik	75852	RIKEN cDNA 4930590L14 gene	ncRNA
3	141210004	141212355	-	Pdha2	18598	pyruvate dehydrogenase E1 alpha 2	mRNA
3	141464606	141465496	-	Gm15688	433658	predicted gene 15688	mRNA
3	141465564	141465837	+	Unc5c	22253	unc-5 homolog C (C. elegans), transcript variant 1	mRNA
3	141617496	141632071	-	LOC105244564	105244564	uncharacterized LOC105244564, transcript variant X2	ncRNA
3	141682685	141683463	-	Gm15689	102635756	predicted gene 15689, transcript variant X2	ncRNA
3	142169145	142169590	-	Bmpr1b	12167	bone morphogenetic protein receptor, type 1B, transcript variant X4	mRNA
3	142395586	142395696	-	Pdlim5	56376	PDZ and LIM domain 5, transcript variant 6	mRNA
3	142433740	142434041	+	Gm33189	102635993	predicted gene, 33189, transcript variant X2	ncRNA
3	142496934	142496995	+	Gbp5	229898	guanylate binding protein 5	mRNA
3	142530336	142530439	+	Gbp7	229900	guanylate binding protein 7, transcript variant 1	mRNA
3	142560016	142560283	+	Gbp3	55932	guanylate binding protein 3, transcript variant X1	mRNA
3	142568695	142569041	-	LOC105244565	105244565	uncharacterized LOC105244565	ncRNA
3	142594816	142594911	+	Gbp2b	14468	guanylate binding protein 2b, transcript variant X2	mRNA
3	142620663	142620808	+	Gbp2	14469	guanylate binding protein 2	mRNA
3	142623860	142623946	-	Mir6381	102465200	microRNA 6381	precursor_RNA
3	142701048	142701175	+	Ccbl2	229905	cysteine conjugate-beta lyase 2, transcript variant 2	mRNA
3	142765247	142765288	+	Gtf2b	229906	general transcription factor IIB	mRNA
3	142881611	142882004	-	Pkn2	109333	protein kinase N2	mRNA
